Agency,Service
Brooklyn Bridge Park Corporation,DATA CONNECTIVITY (CIRCUIT ORDERS)
Brooklyn Bridge Park Corporation,CLOUD REVIEW
Brooklyn Bridge Park Corporation,ADOBE ETLA
Brooklyn Bridge Park Corporation,VMWARE ELA
Brooklyn Bridge Park Corporation,MOBILE DEVICES AND SERVICES
Brooklyn Bridge Park Corporation,VoIP
Brooklyn Navy Yard Development Corporation,SITE-TO-SITE VPN
Brooklyn Navy Yard Development Corporation,SOFTWARE SECURITY ASSURANCE
Brooklyn Navy Yard Development Corporation,SSL REMOTE ACCESS
Brooklyn Navy Yard Development Corporation,MOBILE DEVICES AND SERVICES
City University of New York,BUSINESS APPLICATION DEVELOPMENT 
City University of New York,SITE-TO-SITE VPN
City University of New York,SOFTWARE SECURITY ASSURANCE
City University of New York,SSL REMOTE ACCESS
City University of New York,CDWG - IT GOODS AND RELATED SERVICES 
City University of New York,SECURE FILE TRANSFER 
City University of New York,TELECOMM CONTRACT
Coordinated Assistance Network,SITE-TO-SITE VPN
Coordinated Assistance Network,SOFTWARE SECURITY ASSURANCE
Coordinated Assistance Network,SSL REMOTE ACCESS
"Economic Development Corporation, NYC",BUSINESS-AS-USUAL (ANALYTICS)
"Economic Development Corporation, NYC",SOLUTION DEVELOPMENT (ANALYTICS)
"Economic Development Corporation, NYC",SITE-TO-SITE VPN
"Economic Development Corporation, NYC",SOFTWARE SECURITY ASSURANCE
"Economic Development Corporation, NYC",SSL REMOTE ACCESS
"Economic Development Corporation, NYC",CISCO MAINTENANCE CONTRACT
"Economic Development Corporation, NYC",SITE B (STERLING FOREST) MAINFRAME
"Economic Development Corporation, NYC",WORKSHOPS
"Economic Development Corporation, NYC",CITYNET
"Economic Development Corporation, NYC",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Economic Development Corporation, NYC",TELECOMM CONTRACT
Family Justice Centers (OCDV),BUSINESS APPLICATION DEVELOPMENT 
Family Justice Centers (OCDV),WEBSITE DESIGN BUILD AND MAINTENANCE  
Family Justice Centers (OCDV),NYC.GOV
Family Justice Centers (OCDV),SITE-TO-SITE VPN
Family Justice Centers (OCDV),SOFTWARE SECURITY ASSURANCE
Family Justice Centers (OCDV),SSL REMOTE ACCESS
Family Justice Centers (OCDV),DATA EXCHANGE
Family Justice Centers (OCDV),APPLICATION SUPPORT
Family Justice Centers (OCDV),DESKTOP SUPPORT
Family Justice Centers (OCDV),EMAIL
Family Justice Centers (OCDV),PROVISIONING
Family Justice Centers (OCDV),LYNC 2013
Family Justice Centers (OCDV),CABLE INFRASTRUCTURE
Family Justice Centers (OCDV),CITYNET
Family Justice Centers (OCDV),DATA CONNECTIVITY (CIRCUIT ORDERS)
Family Justice Centers (OCDV),NETWORK LAN SUPPORT
Family Justice Centers (OCDV),USER EXPERIENCE DESIGN
Family Justice Centers (OCDV),ADOBE ETLA
Family Justice Centers (OCDV),MOBILE DEVICES AND SERVICES
Family Justice Centers (OCDV),VIDEO CONFERENCING SOLUTIONS
Family Justice Centers (OCDV),VoIP
Family Justice Centers (OCDV),FUNCTIONAL TESTING
Fiscal Year 2005 Securitization Corporation,WEBSITE DESIGN BUILD AND MAINTENANCE  
Fiscal Year 2005 Securitization Corporation,NYC.GOV
Fiscal Year 2005 Securitization Corporation,SITE-TO-SITE VPN
Fiscal Year 2005 Securitization Corporation,SOFTWARE SECURITY ASSURANCE
Fiscal Year 2005 Securitization Corporation,SSL REMOTE ACCESS
Fiscal Year 2005 Securitization Corporation,SITE B (STERLING FOREST) MAINFRAME
"Governors Island, Trust for",PROJECT MANAGEMENT 
"Governors Island, Trust for",SITE-TO-SITE VPN
"Governors Island, Trust for",SOFTWARE SECURITY ASSURANCE
"Governors Island, Trust for",SSL REMOTE ACCESS
"Governors Island, Trust for",SERVICE DESK
"Governors Island, Trust for",DESKTOP SUPPORT
"Governors Island, Trust for",EMAIL
"Governors Island, Trust for",MAINFRAME
"Governors Island, Trust for",LYNC 2013
"Governors Island, Trust for",CABLE INFRASTRUCTURE
"Governors Island, Trust for",CITYNET
"Governors Island, Trust for",DATA CONNECTIVITY (CIRCUIT ORDERS)
"Governors Island, Trust for",NETWORK LAN SUPPORT
"Governors Island, Trust for",MOBILE DEVICES AND SERVICES
"Governors Island, Trust for",VoIP
Gracie Mansion Conservancy,BUSINESS APPLICATION DEVELOPMENT 
Gracie Mansion Conservancy,SITE-TO-SITE VPN
Gracie Mansion Conservancy,SOFTWARE SECURITY ASSURANCE
Gracie Mansion Conservancy,SSL REMOTE ACCESS
"Housing Development Corporation, NYC",APPLICATION AUTHENTICATION AND AUTHORIZATION
"Housing Development Corporation, NYC",WEB SINGLE SIGN-ON
"Housing Development Corporation, NYC",IDENTITY MANAGEMENT 
"Housing Development Corporation, NYC",NYC.ID/IDENTITY MANAGEMENT 
"Housing Development Corporation, NYC",PASSWORD SELF-SERVICE
"Housing Development Corporation, NYC",SITE-TO-SITE VPN
"Housing Development Corporation, NYC",SOFTWARE SECURITY ASSURANCE
"Housing Development Corporation, NYC",SSL REMOTE ACCESS
"Housing Development Corporation, NYC",PROVISIONING
"Housing Development Corporation, NYC",ADOBE ETLA
"Housing Development Corporation, NYC",VMWARE ELA
Hudson Yards Development Corporation,SITE-TO-SITE VPN
Hudson Yards Development Corporation,SOFTWARE SECURITY ASSURANCE
Hudson Yards Development Corporation,SSL REMOTE ACCESS
Hudson Yards Development Corporation,PROVISIONING
Hudson Yards Infrastructure Corporation,BUSINESS APPLICATION DEVELOPMENT 
Hudson Yards Infrastructure Corporation,SITE-TO-SITE VPN
Hudson Yards Infrastructure Corporation,SOFTWARE SECURITY ASSURANCE
Hudson Yards Infrastructure Corporation,SSL REMOTE ACCESS
Hudson Yards Infrastructure Corporation,DATA EXCHANGE
Legal Aid Society,PROJECT MANAGEMENT 
Legal Aid Society,SITE-TO-SITE VPN
Legal Aid Society,SOFTWARE SECURITY ASSURANCE
Legal Aid Society,SSL REMOTE ACCESS
Legal Aid Society,PROVISIONING
Legal Aid Society,FUNCTIONAL TESTING
Library -- Brooklyn Public Library,SITE-TO-SITE VPN
Library -- Brooklyn Public Library,SOFTWARE SECURITY ASSURANCE
Library -- Brooklyn Public Library,SSL REMOTE ACCESS
Library -- Brooklyn Public Library,SECURE FILE TRANSFER 
Library -- Brooklyn Public Library,CITYNET
Library -- Brooklyn Public Library,DATA CONNECTIVITY (CIRCUIT ORDERS)
Library -- Brooklyn Public Library,VMWARE ELA
Library -- Brooklyn Public Library,TELECOMM CONTRACT
Library -- New York Public Library,SITE-TO-SITE VPN
Library -- New York Public Library,SOFTWARE SECURITY ASSURANCE
Library -- New York Public Library,SSL REMOTE ACCESS
Library -- New York Public Library,SECURE FILE TRANSFER 
Library -- New York Public Library,CITYNET
Library -- New York Public Library,DATA CONNECTIVITY (CIRCUIT ORDERS)
Library -- New York Public Library,ADOBE ETLA
Library -- New York Public Library,VMWARE ELA
Library -- New York Public Library,TELECOMM CONTRACT
Library -- Queens Borough Public Library,SITE-TO-SITE VPN
Library -- Queens Borough Public Library,SOFTWARE SECURITY ASSURANCE
Library -- Queens Borough Public Library,SSL REMOTE ACCESS
Library -- Queens Borough Public Library,SECURE FILE TRANSFER 
Library -- Queens Borough Public Library,WORKSHOPS
Library -- Queens Borough Public Library,CITYNET
Library -- Queens Borough Public Library,ADOBE ETLA
Library -- Queens Borough Public Library,VMWARE ELA
Library -- Queens Borough Public Library,TELECOMM CONTRACT
Lower Manhattan Development Corporation,SITE-TO-SITE VPN
Lower Manhattan Development Corporation,SOFTWARE SECURITY ASSURANCE
Lower Manhattan Development Corporation,SSL REMOTE ACCESS
Mayor's Fund to Advance NYC,BUSINESS APPLICATION DEVELOPMENT 
Mayor's Fund to Advance NYC,WEBSITE DESIGN BUILD AND MAINTENANCE  
Mayor's Fund to Advance NYC,NYC.GOV
Mayor's Fund to Advance NYC,SITE-TO-SITE VPN
Mayor's Fund to Advance NYC,SOFTWARE SECURITY ASSURANCE
Mayor's Fund to Advance NYC,SSL REMOTE ACCESS
Mayor's Fund to Advance NYC,CLOUD REVIEW
Police Pension Fund,WEBSITE DESIGN BUILD AND MAINTENANCE  
Police Pension Fund,NYC.GOV
Police Pension Fund,SITE-TO-SITE VPN
Police Pension Fund,SOFTWARE SECURITY ASSURANCE
Police Pension Fund,SSL REMOTE ACCESS
Police Pension Fund,CABLE INFRASTRUCTURE
Police Pension Fund,CITYNET
Police Pension Fund,ADVISORY SERVICES 
Police Pension Fund,MICROSOFT ELA
Sales Tax Asset Receivable Corporation,WEBSITE DESIGN BUILD AND MAINTENANCE  
Sales Tax Asset Receivable Corporation,NYC.GOV
Sales Tax Asset Receivable Corporation,SITE-TO-SITE VPN
Sales Tax Asset Receivable Corporation,SOFTWARE SECURITY ASSURANCE
Sales Tax Asset Receivable Corporation,SSL REMOTE ACCESS
Sales Tax Asset Receivable Corporation,TWO-WAY RADIO COMMUNICATION
Teachers' Retirement System,SITE-TO-SITE VPN
Teachers' Retirement System,SOFTWARE SECURITY ASSURANCE
Teachers' Retirement System,SSL REMOTE ACCESS
Teachers' Retirement System,WORKSHOPS
Teachers' Retirement System,CITYNET
Teachers' Retirement System,ADOBE ETLA
Teachers' Retirement System,VMWARE ELA
Teachers' Retirement System,MICROSOFT ELA
Teachers' Retirement System,TELECOMM CONTRACT
Teachers' Retirement System,TWO-WAY RADIO COMMUNICATION
The Bronx Defenders,SITE-TO-SITE VPN
The Bronx Defenders,SOFTWARE SECURITY ASSURANCE
The Bronx Defenders,SSL REMOTE ACCESS
The Bronx Defenders,MICROSOFT ELA
The Bronx Defenders,TWO-WAY RADIO COMMUNICATION
